Business_ID,Business_Size,Business_Age,Industry_Type,Entity_Type,Monthly_GST_Sales,GST_Growth_Rate,GST_Filing_Delay,GST_Compliance_Rate,Monthly_UPI_Count,Monthly_UPI_Value,Digital_Sales_Ratio,Average_Bank_Balance,Monthly_Credit,Monthly_Debit,Cashflow_Volatility,Employee_Count,Payroll_Consistency,Vendor_Payment_Delay,Working_Capital_Cycle,EMI_Bounce_Count
BID3598,Micro,18.76490736973519,Retail,Proprietorship,676952.7238603138,-0.0263763776356416,8.331316714479795,0.918963206782999,45,37705.33044906458,0.9218759394535448,108303.06642340838,579344.2158970808,490184.3589949008,0.1761508685733496,7,0.8297860037040254,6.827919522019652,38.35132023295787,0
BID0463,Micro,2.6376233608875297,Manufacturing,Proprietorship,871699.7561905095,0.162957989904935,6.437010865506785,0.9440419312024904,14,26058.53629946149,0.7335534931520229,78951.87817453637,886346.5629737998,641252.1387772593,0.4147051845364952,5,0.776073858776826,20.04413443124293,107.8661715518189,2
BID1726,Micro,6.369239921733137,Retail,LLP,102224.61452842291,0.1798587038710443,6.0773383352564565,0.976033494854773,50,66856.1681528922,0.6602240116018593,11731.217651418325,106093.0753752623,85811.24479399678,0.2963378465496452,5,0.7984903567689601,8.765285415861701,37.37985217802085,1
BID1706,Micro,11.107624129120428,Retail,LLP,57168.84394239192,0.1541759390327854,15.971203317426522,0.9303190981397303,41,30620.31888882756,0.871595678570502,8791.612090843011,53205.56309699902,54876.79398115152,0.1571970644243263,2,0.7594324819133462,17.742424908051255,47.00743639710518,0
BID2309,Micro,1.238884654803601,Retail,Proprietorship,668957.4530480943,0.3284192034205114,3.838730273951687,0.9851355287332336,60,83651.16516097689,0.810022949620163,71900.18015495934,687607.430339588,603719.8971572673,0.6739068738891527,6,0.8285156309944418,13.794059592424068,24.285355694873708,0
BID3162,Small,7.273879459967219,Hospitality,LLP,1078586.6445962517,0.1572871112228004,5.873907977566941,1.0,71,48569.07150373983,0.778362051796187,172859.69307677957,1021213.7803054074,575600.0891366074,0.127164674963991,31,0.8766671034029656,25.32523128892097,30.08059539942919,1
BID0124,Micro,6.876560821150796,Hospitality,Proprietorship,305505.8907697915,0.1922605533608404,9.794900579382915,0.8889829381215938,43,39366.63184148149,0.4506119906350568,37000.03580934946,316130.3104134336,225243.7424011312,0.0307447652501829,3,0.6925623585025932,18.876904393382134,40.34557616317037,0
BID1342,Micro,1.0,Services,Proprietorship,281968.3694513235,0.2035732730259102,13.26783619889379,0.9292456842389348,33,34836.986795075456,0.5508520454226383,14187.007210411892,277422.3968563173,165818.77637683565,0.4490744820940036,3,0.7449528703996363,13.386017007741916,45.09346121434205,0
BID1127,Micro,1.0,Wholesale,Proprietorship,686836.102841329,0.1245186286381607,11.954568497209026,0.9295720426817312,21,33446.773925898626,0.4205796330982153,51535.28675722475,655529.2164585019,498971.3478231745,0.5207226357336388,5,0.7536306345524642,25.132897896057017,72.81027264645414,0
BID2432,Small,21.23347106205537,Manufacturing,Proprietorship,1046757.1119477728,-0.0504579889429951,14.773692904812084,0.9180660892873156,22,46108.21229455,0.6558889371493584,331544.17746819824,971236.2648800316,848749.8896225393,0.4085078348924098,28,0.8723879222108516,19.80230793459046,84.0074775263201,1
BID0333,Micro,13.640140634585848,Manufacturing,Proprietorship,2041117.682823093,0.0369207112289843,66.8164182352533,0.5941107183950696,12,28995.20536400684,0.4105824116098799,359524.89733126096,1910476.0625827345,1655485.0803239178,0.6230063727860563,6,0.7680819143096386,15.49362235764974,98.43360058166138,4
BID2881,Micro,2.3340071161141265,Hospitality,Proprietorship,129759.48295124529,0.3526115885225196,10.824847219917128,0.9404050034775162,46,23186.80562575041,0.4583617357209084,17900.504882211582,134754.44862652742,101774.11515604044,0.2645130573915483,3,0.6948660476179224,8.533888454498683,34.063318183391104,0
BID2136,Micro,4.836485662583108,Services,Proprietorship,903131.6946669038,0.078500201361999,9.24835527656118,0.858413778392284,28,21824.71975824408,0.7757876520335084,53956.79662368279,790296.9261553071,452840.7544816453,0.4241537317451301,3,0.7241158931712737,6.328465644545131,32.10411651384527,2
BID1596,Micro,6.40241210958763,Services,Proprietorship,188604.52275029785,0.0640009468660567,3.957807799479229,1.0,40,96492.74674547426,0.841789707248281,19314.49454212076,161261.1965935144,127611.75674844056,0.1663794496620616,5,0.7973648618390857,9.97094598819576,23.59117658497341,0
